Region,Sub-region,Pathology,Tissue,Program,treatmentPlanText
Knee,Lateral Knee Pain,Iliotibial Band,Mixed,majorInjury,"Exercises may only be helpful for desensitizing tissue (little robust research to support), focus much more on walk run, speed internvals, multidirection. Avoid downhill and long distances (0/10 pain). Fascial/tendinous ITB structure"
Hip & Groin,Anterior Hip,Iliopsoas/Rectus Femoris Tendinopathy,Tendon,minorInjury,"Hills may be an issue, progress back with them slowly. Try loading hip flexors in supine first, before standing. Load eccentrically as well, try A-skips before running again."
Hip & Groin,Anterior Hip,"Sartorius, Adductor Brevis/Longus/Magnus, Pectineus Tendinopathy",Tendon,minorInjury,"Load in adduction, progress Copenhagen. Query gait changes for scissor gait?"
Hip & Groin,Lateral Hip,"Gluteal Maximus, Minimus, Medius Tendinopathy",Tendon,minorInjury,"Load in hip extension, abduction heavily and progress to plyometrics. Start with volume first, avoid overstriding increase cadence before speed if possible. Running drills would be helpful. "
Hip & Groin,Lateral Hip,Proximal Iliotibial Fasciopathy,Tendon,minorInjury,"May be a directional issue on the camber for track athletes, hip adduction during running. Compression of fascia from both passive and active structures (glute med/min/TFL). Introduce trails on flat, before progressing to uphill and downhill. Speed can precede volume in this injury. "
Hip & Groin,Lateral Hip,Iliotibial Band Syndrome,Tendon,minorInjury,"May be a directional issue on the camber for track athletes, hip adduction during running. Compression of bursae from both passive and active structures (vastus lateralis). Introduce trails on flat, before progressing to uphill and downhill. Speed can precede volume in this injury"
Hip & Groin,Pubalgia,Enthesopathy at inguinal ligament insertion,Tendon,minorInjury,"Diaphragmatic breathing, deadbug, single glute bridges, bridge on ball. Avoid sit-ups, crunches, bicycle crunches, heavy lifting initially"
Hip & Groin,Pubalgia,Adductor Brevis/Longus & Gracilis Tendinopathy,Tendon,minorInjury,"Load in adduction, progress Copenhagen. Query gait changes for scissor gait?"
Hip & Groin,Pubalgia,Rectus Abdominis Tendinopathy,Tendon,minorInjury,"Diaphragmatic breathing, deadbug, single glute bridges, bridge on ball. Avoid sit-ups, crunches, bicycle crunches, heavy lifting initially"
Hip & Groin,Posterior Hip,Proximal Hamstring Tendinopathy,Tendon,minorInjury,"Avoid activities that compress the insertional tendon in deep hip flexion: hill sprints, deep squats, lunges, RDLs, downward dog stretch, touching-toes stretch, kettlebell swings. Load distally first and then progress back into deeper hip flexion ranges."
Foot,Dorsal Foot,Venous stasis/claudication,Vascular,majorInjury,"Out of scope. You can probably perform an ankle-brachial index test on a treadmill until symptomatic and record the pre-post blood pressures. Refer to Sports Med who will refer to vascular. If surgery is indeed not an option, reduce intensity build volume. Reorienting client goals is important to preserve limb integrity and quality of life."
Foot,Plantar Heel,Calcaneal anastomosis artery and veins,Vascular,majorInjury,"Out of scope. You can probably perform an ankle-brachial index test on a treadmill until symptomatic and record the pre-post blood pressures. Refer to Sports Med who will refer to vascular. If surgery is indeed not an option, reduce intensity build volume. Reorienting client goals is important to preserve limb integrity and quality of life."
Foot,Plantar Heel,Medial and lateral plantar arteries and veins,Vascular,majorInjury,"Out of scope. You can probably perform an ankle-brachial index test on a treadmill until symptomatic and record the pre-post blood pressures. Refer to Sports Med who will refer to vascular. If surgery is indeed not an option, reduce intensity build volume. Reorienting client goals is important to preserve limb integrity and quality of life."
Foot,Posterior Heel Pain,Arterial venous calcaneal anastomoses,Vascular,majorInjury,"Out of scope. You can probably perform an ankle-brachial index test on a treadmill until symptomatic and record the pre-post blood pressures. Refer to Sports Med who will refer to vascular. If surgery is indeed not an option, reduce intensity build volume. Reorienting client goals is important to preserve limb integrity and quality of life."
Leg,Anterolateral Leg,"Venous insufficiency, atheroma, iliac artery endofibrosis",Vascular,majorInjury,"Out of scope. You can probably perform an ankle-brachial index test on a treadmill until symptomatic and record the pre-post blood pressures. Refer to Sports Med who will refer to vascular. If surgery is indeed not an option, reduce intensity build volume. Reorienting client goals is important to preserve limb integrity and quality of life."
Leg,Posteromedial Leg,"Deep vein thrombosis, venous insufficiency, atheroma, iliac artery endofibrosis",Vascular,majorInjury,"Out of scope. You can probably perform an ankle-brachial index test on a treadmill until symptomatic and record the pre-post blood pressures. Refer to Sports Med who will refer to vascular. If surgery is indeed not an option, reduce intensity build volume. Reorienting client goals is important to preserve limb integrity and quality of life."
Leg,Posteromedial Leg,Popliteal artery entrapment,Vascular,majorInjury,"Out of scope. You can probably perform an ankle-brachial index test on a treadmill until symptomatic and record the pre-post blood pressures. Refer to Sports Med who will refer to vascular. If surgery is indeed not an option, reduce intensity build volume. Reorienting client goals is important to preserve limb integrity and quality of life."
Knee,Posterior Knee Pain,Popliteal artery,Vascular,majorInjury,"Out of scope. You can probably perform an ankle-brachial index test on a treadmill until symptomatic and record the pre-post blood pressures. Refer to Sports Med who will refer to vascular. If surgery is indeed not an option, reduce intensity build volume. Reorienting client goals is important to preserve limb integrity and quality of life."
Hip & Groin,Anterior Hip,"External iliac artery, deep and superficial femoral arteries, circumflex artery",Vascular,majorInjury,"Out of scope. You can probably perform an ankle-brachial index test on a treadmill until symptomatic and record the pre-post blood pressures. Refer to Sports Med who will refer to vascular. If surgery is indeed not an option, reduce intensity build volume. Reorienting client goals is important to preserve limb integrity and quality of life."
Hip & Groin,Thigh,Deep + superficial femoral arteries,Vascular,majorInjury,"Out of scope. You can probably perform an ankle-brachial index test on a treadmill until symptomatic and record the pre-post blood pressures. Refer to Sports Med who will refer to vascular. If surgery is indeed not an option, reduce intensity build volume. Reorienting client goals is important to preserve limb integrity and quality of life."
Hip & Groin,Lateral Hip,"Superior and inferior gluteal arteries, circumflex artery",Vascular,majorInjury,"Out of scope. You can probably perform an ankle-brachial index test on a treadmill until symptomatic and record the pre-post blood pressures. Refer to Sports Med who will refer to vascular. If surgery is indeed not an option, reduce intensity build volume. Reorienting client goals is important to preserve limb integrity and quality of life."
Hip & Groin,Pubalgia,"External iliac artery, deep and superficial femoral arteries, circumflex artery",Vascular,majorInjury,"Out of scope. You can probably perform an ankle-brachial index test on a treadmill until symptomatic and record the pre-post blood pressures. Refer to Sports Med who will refer to vascular. If surgery is indeed not an option, reduce intensity build volume. Reorienting client goals is important to preserve limb integrity and quality of life."
Leg,Posteromedial Leg,Arterial venous calcaneal anastomoses,Vascular,majorInjury,"Out of scope. You can probably perform an ankle-brachial index test on a treadmill until symptomatic and record the pre-post blood pressures. Refer to Sports Med who will refer to vascular. If surgery is indeed not an option, reduce intensity build volume. Reorienting client goals is important to preserve limb integrity and quality of life."
Hip & Groin,Anterior Hip,"Venous insufficiency, atheroma, iliac artery endofibrosis",Vascular,majorInjury,"Out of scope. You can probably perform an ankle-brachial index test on a treadmill until symptomatic and record the pre-post blood pressures. Refer to Sports Med who will refer to vascular. If surgery is indeed not an option, reduce intensity build volume. Reorienting client goals is important to preserve limb integrity and quality of life."
Various,Various Details,Deep vein thrombosis,Vascular,majorInjury,"Out of scope. You can probably perform an ankle-brachial index test on a treadmill until symptomatic and record the pre-post blood pressures. Refer to Sports Med who will refer to vascular. If surgery is indeed not an option, reduce intensity build volume. Reorienting client goals is important to preserve limb integrity and quality of life."
Knee,Posterior Knee Pain,Popliteal artery entrapment,Vascular,majorInjury,"Out of scope. You can probably perform an ankle-brachial index test on a treadmill until symptomatic and record the pre-post blood pressures. Refer to Sports Med who will refer to vascular. If surgery is indeed not an option, reduce intensity build volume. Reorienting client goals is important to preserve limb integrity and quality of life."
Hip & Groin,Anterior Hip,"External iliac artery, deep and superficial femoral arteries, circumflex artery",Vascular,majorInjury,"Out of scope. You can probably perform an ankle-brachial index test on a treadmill until symptomatic and record the pre-post blood pressures. Refer to Sports Med who will refer to vascular. If surgery is indeed not an option, reduce intensity build volume. Reorienting client goals is important to preserve limb integrity and quality of life."
